date,lift_reason,det_facility,city,state,detainer_type
2009-11-19 00:00:00,United States Citizen Interviewed,ARK. D.O.C.-DIAGNOSTIC   .,PINE BLUFF,ARKANSAS,
2009-11-20 00:00:00,United States Citizen Interviewed,FREDERICK COUNTY DET. CEN,FREDERICK,MARYLAND,
2009-11-29 00:00:00,United States Citizen Interviewed,BEXAR COUNTY JAIL,SAN ANTONIO,TEXAS,
2009-12-03 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2009-12-18 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2009-12-29 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2009-12-31 00:00:00,United States Citizen Interviewed,MARION COUNTY JAIL,INDIANAPOLIS,INDIANA,
2010-01-06 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2010-01-12 00:00:00,United States Citizen Interviewed,"ERIE COUNTY JAIL, PA",ERIE,PENNSYLVANIA,
2010-01-13 00:00:00,United States Citizen Interviewed,CALIPATRIA STATE PRISON,CALIPATRIA,CALIFORNIA,
2010-01-26 00:00:00,United States Citizen Interviewed,WASHOE COUNTY JAIL,RENO,NEVADA,
2010-01-28 00:00:00,United States Citizen Interviewed,"RIKERS ISLAND, QUEENS, NY",ELMHURST,NEW YORK,
2010-02-04 00:00:00,United States Citizen Interviewed,TUCSON FED.CORR.INST.,Tuscon,ARIZONA,
2010-02-08 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2010-02-16 00:00:00,United States Citizen Interviewed,DEUEL VOCATIONAL INSTITUT,TRACY,CALIFORNIA,
2010-02-22 00:00:00,United States Citizen Interviewed,SANDY MUSH JAIL,MERCED,CALIFORNIA,
2010-02-22 00:00:00,United States Citizen Interviewed,ALLENWOOD (MED) FCI,WHITE DEER,PENNSYLVANIA,
2010-02-22 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-02-25 00:00:00,United States Citizen Interviewed,ALLENWOOD U.S.PEN.,WHITE DEER,PENNSYLVANIA,
2010-03-02 00:00:00,United States Citizen Interviewed,SOMERSET COUNTY JAIL,SOMERVILLE,NEW JERSEY,
2010-03-16 00:00:00,United States Citizen Interviewed,REEVES COUNTY DET. CENTER,PECOS,TEXAS,
2010-03-18 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2010-03-19 00:00:00,United States Citizen Interviewed,SIGNAL HILL POLICE DEPT.,SIGNAL HILL,CALIFORNIA,
2010-03-23 00:00:00,United States Citizen Interviewed,SEDGWICK COUNTY JAIL,WICHITA,KANSAS,
2010-04-06 00:00:00,United States Citizen Interviewed,PASADENA CITY JAIL,PASADENA,CALIFORNIA,
2010-04-10 00:00:00,United States Citizen Interviewed,LOS ANGELES COUNTY JAIL-TWIN TOWER,LOS ANGELES,CALIFORNIA,
2010-04-11 00:00:00,United States Citizen Interviewed,MARICOPA COUNTY JAIL,PHOENIX,ARIZONA,
2010-04-13 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-04-14 00:00:00,United States Citizen Interviewed,RIVERSIDE COUNTY SHERIFF,RIVERSIDE,CALIFORNIA,
2010-04-16 00:00:00,United States Citizen Interviewed,STANISLAUS COUNTY JAIL,MODESTO,CALIFORNIA,
2010-04-19 00:00:00,United States Citizen Interviewed,"DUTCHESS CO.JAIL,POUGHKEE",POUGHKEEPSIE,NEW YORK,
2010-04-20 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2010-04-20 00:00:00,United States Citizen Interviewed,MOUNTAINVIEW YOUTH C.F.,ANNANDALE,NEW JERSEY,
2010-04-23 00:00:00,United States Citizen Interviewed,WEST VALLEY,RANCHO CUCAMONGA,CALIFORNIA,
2010-04-23 00:00:00,United States Citizen Interviewed,MADERA CO DEPT OF CORRECT,MADERA,CALIFORNIA,
2010-04-26 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-04-27 00:00:00,United States Citizen Interviewed,REEVES COUNTY DET. CENTER III,PECOS,TEXAS,
2010-04-27 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-04-27 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
2010-04-30 00:00:00,United States Citizen Interviewed,YAZOO CITY FCI,YAZOO CITY,MISSISSIPPI,
2010-05-05 00:00:00,United States Citizen Interviewed,"MCRAE CORRECTIONAL FACILITY, CCA",MCRAE,GEORGIA,
2010-05-06 00:00:00,United States Citizen Interviewed,PIERCE COUNTY JAIL,TACOMA,WASHINGTON,
2010-05-09 00:00:00,United States Citizen Interviewed,MARICOPA COUNTY JAIL,PHOENIX,ARIZONA,
2010-05-11 00:00:00,United States Citizen Interviewed,US MARSHAL - PHOENIX,PHOENIX,ARIZONA,
2010-05-12 00:00:00,United States Citizen Interviewed,LEWISBURG U.S. PEN.,LEWISBURG,PENNSYLVANIA,
2010-05-13 00:00:00,United States Citizen Interviewed,HIDALGO COUNTY JAIL,EDINBURG,TEXAS,
2010-05-21 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2010-05-25 00:00:00,United States Citizen Interviewed,SANTA RITA JAIL,DUBLIN,CALIFORNIA,
2010-05-29 00:00:00,United States Citizen Interviewed,MONTEREY CO. JAIL,SALINAS,CALIFORNIA,
2010-06-03 00:00:00,United States Citizen Interviewed,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,
