pvt_facility,state,capacity,det_facility
,,,LIBERTY COUNTY JAIL
,,,LIBERTY CTY JUV DET CENTE
,,,LIBERTY POLICE DEPT.
,,,LICKING COUNTY JAIL
,,,LIMESTONE CORRECTIONAL FACILITY
,,,LIMESTONE COUNTY JAIL
,,,LIMESTONE DET CENTER
,,,LINCOLN CORRECTIONS CTR
,,,LINCOLN COUNTY DET CTR
,,,LINCOLN COUNTY DET. CENTER
,,,LINCOLN COUNTY JAIL
,,,LINCOLN COUNTY REGIONAL JAIL
,,,LINCOLN COUNTY SHERIFF
,,,LINCOLN COUNTY SHERIFF'S
,,,LINCOLN PARISH COR. CENTER
,,,LINCOLNSHIRE POLICE DEPT.
,,,LINDA WOODMANSJF
,,,LINN CO JAIL
,,,LINN COUNTY JAIL
,,,LIPSCOMB COUNTY JAIL
,,,LISBON COUNTY JAIL
,,,LITTLE ROCK HOLD ROOM
,,,LIVE OAK COUNTY SHERIFF
,,,LIVINGSTON CORRECTIONAL
,,,LIVINGSTON COUNTY JAIL
,,,LIVINGSTON COUNTY SHERIFF/JAIL
,,,LIVINGSTON POLICE DEPT.
,,,LLANO COUNTY JAIL
,,,LODI POLICE DEPT.
,,,LOGAN CORRECTIONAL CENTER
,,,LOGAN COUNTY DETENTION CENTER
,,,LOGAN COUNTY JAIL
,,,LOGAN COUNTY SHERIFF/JAIL
,,,LOMBARD POLICE DEPT.
,,,LOMPOC FCI
,,,LOMPOC POLICE DEPT.
,,,LOMPOC USP
,,,LONDON CORRECTIONAL
,,,LONG BEACH CITY JAIL
,,,LONG COUNTY JAIL
,,,LONGVIEW POLICE DEPT.
,,,LONOKE COUNTY DET. CENTER
,,,LONOKE POLICE DEPT DET.CTR
,,,LOOKOUT MOUNTAIN YTH. SVC. CENTER
,,,LORAIN CORRECTIONAL
,,,LORAIN COUNTY JAIL
,,,LORETTO FED.CORR.INST.
,,,LOS ALAMITOS POLICE DEPT.
,,,LOS ALAMOS COUNTY DET. CENTER
,,,LOS ANGELES CITY JAIL
,,,LOS ANGELES COUNTY JAIL-TWIN TOWER
,,,LOS ANGELES MET.DET.CTR.
,,,LOS ANGELES POLICE PD 77TH DIV.
,,,LOS CUST CASE
,,,LOS FRESNOS HOLD ROOM
,,,LOS FRESNOS POLICE DEPT.
,,,LOS PADRINOS JUVENILE HALL
,,,LOUDON COUNTY JAIL
,,,LOUDOUN COUNTY
,,,LOUISA COUNTY JAIL
,,,LOUISVILLE HOLD ROOM
,,,LOVE COUNTY SHERIFF/JAIL
,,,LOVELOCK CORRECTIONAL CTR
,,,LOWNDES COUNTY JAIL
,,,LOWNDES COUNTY SHERIFF
,,,LUBBOCK COUNTY JAIL
,,,LUCAS COUNTY JAIL
,,,LUCILLE PLANE STATE JAIL
,,,LUFKIN POLICE DEPT.
,,,LUMBERTON POLICE DEPT.
,,,LUMPKIN COUNTY DET. CENTER
,,,LUNA COUNTY JAIL
,,,LUTHER LUCKET COR COMPLEX
,,,LUTHERAN SOC SVCS OF NEW ENGLAND
,,,LUZERNE COUNTY JAIL
,,,LYCOMING COUNTY JAIL
,,,LYNDHURST POLICE DEPT.
,,,LYNN COUNTY SHERIFF
,,,LYNNWOOD CITY JAIL
,,,LYNWOOD POLICE DEPT.
,,,LYON COUNTY JAIL
,,,M.H.LUTTRELL RECEPTION CTR
,,,"MABEL BASSETT CC, OKC, OK"
,,,MACK ALFORD CORRECT CENTE
,,,MACKINAC COUNTY JAIL
,,,MACLAREN SCHOOL YOUTH FAC.
,,,"MACOMB CO YOUTH,MT CLEMEN"
,,,"MACOMB CO.MT.CLEMENS,MI."
,,,MACOMB CORRECTIONAL FACILITY
,,,"MACOMB REGION,NEW HAVEN,M"
,,,MACON COUNTY JAIL
,,,MACON COUNTY JUVENILE FAC.
,,,MACON COUNTY SHERIFF
,,,MADERA CO DEPT OF CORRECT
,,,"MADISON CO. JAIL, MS."
,,,MADISON CORRECTIONAL
,,,MADISON CORRECTIONAL INSTITUTION
,,,MADISON COUNTY DET. HOME
,,,MADISON COUNTY JAIL
,,,MADISON COUNTY SHERIFF
,,,MADISON COUNTY SHERIFF/JAIL
,,,MADISON PARISH DET CENTER
,,,MADISONVILLE POLICE DEPT.
,,,MAHASKA COUNTY JAIL
,,,MAHNOMEN COUNTY JAIL
,,,MAHONING COUNTY JAIL
,,,MAINE CORRECTIONAL CENTER
,,,MAINE DEPT OF CORRECTIONS
,,,MAINE STATE PRISON
,,,MALHEUR COUNTY JAIL
,,,MANATEE COUNTY DETENTION-ANNEX
,,,MANCHESTER FED CORR INSTR
,,,MANCHESTER HOLDROOM
,,,MANCHESTER POLICE DEPT.
,,,MANHATAN BEACH POLICE DEPT.
,,,MANHATTAN CENTRAL BOOKING
,,,"MANHATTEN DET COMPLEX, NY"
,,,"MANISTEE CO,MANISTEE,MI"
,,,MANITOWOC COUNTY JAIL
,,,MANSFIELD CORRECTIONAL
,,,MANSFIELD L.E. CENTER
,,,MANSON YOUTH INST
,,,MAPLE HEIGHTS CITY JAIL
,,,MAPLE LANE SCHOOL
,,,MAPLEWOOD POLICE DEPT.
,,,MARATHON COUNTY SHERIFF
,,,MARCY CORRECTIONAL
,,,MARENGO COUNTY JAIL
,,,MARIANNA FED.CORR.INST.
,,,MARICOPA CO LOWER BUCKEYE JAIL
,,,MARICOPA COUNTY JAIL
,,,MARICOPA MEDICAL CENTER
,,,MARIN CO. JAIL
,,,MARIN JUVENILE HALL
,,,MARINETTE COUNTY SHERIFF
,,,MARION CO JAIL
,,,MARION CO JAIL & L.E. CTR
,,,MARION CORRECTIONAL
,,,MARION CORRECTIONAL INST.
,,,MARION COUNTY DETENTION CENTER
,,,MARION COUNTY JAIL
,,,MARION COUNTY JUVENILE
,,,MARION COUNTY SHERIFF
,,,MARION COUNTY SHERIFF/JAIL
,,,MARION USP
,,,MARION-WALTHALL COUNTY REG COR FAC
,,,MARIPOSA COUNTY SHERIFF'S DEPT
,,,MARLBORO COUNTY DET CENTER
,,,MARQUETTE BRANCH PRISON
,,,"MARQUETTE CO,MARQUETTE MI"
,,,MARSHAL COUNTY JAIL
,,,MARSHALL COUNTY JAIL
,,,MARTIN CORRECTIONAL INSTITUTION
,,,MARTIN COUNTY JAIL
,,,MARTIN HALL JUVENILE
,,,MARTINSVILLE COUNTY JAIL
,,,MARVIN W. FOOTE JUVENILE
,,,MARYLAND HEIGHTS POLICE DEPT.
,,,MARYLAND TRANSITION CENTER
,,,MARYSVILLE CITY JAIL
,,,MASON COUNTY DET CTR
,,,MASON COUNTY JAIL
,,,MASON COUNTY JUVENILE DET.
,,,MASSACHUSETTS STATE POLICE
,,,MATAGORDA COUNTY SHERIFF
,,,"MATSU PRETRIAL, PALMER AK"
,,,MAUI CO PD - LAHAINA
,,,MAUI CO PD - WAILUKU
,,,MAUI COMMUNITY CORR CTR
,,,MAURY COUNTY SHERIFF
,,,MAVERICK COUNTY JAIL
,,,MAXWELL AFB FED PRIS CAMP
,,,MAYES COUNTY JAIL
,,,MAYO CORRECTIONAL
,,,MAYWOOD POLICE DEPT.
,,,MC NAIRY SHERIFF'S DEPT.
,,,MCCLENNAN COUNTY DETENTION CENTER
,,,MCCRACKEN COUNTY JAIL
,,,MCCREARY USP
,,,MCCULLOUGH COUNTY JAIL
,,,MCCURTAIN COUNTY SHERIFF/JAIL
,,,MCDONALD COUNTY SERIFF
,,,MCDONOUGH COUNTY JAIL
,,,MCDOUGALL CORR INST
,,,MCDOWELL COUNTY CORRECTIONS
,,,MCDOWELL COUNTY JAIL
,,,MCDUFFIE COUNTY SHERIFF
,,,MCF RED WING JUVENILE
,,,MCHENRY COUNTY SHERIFF'S
,,,MCHENRY POLICE DEPT.
,,,MCI CEDAR JUNCTION
,,,MCI CONCORD
,,,MCI HAGERSTOWN
,,,MCI NORFOLK
,,,MCI SHIRLEY
,,,"MCI, FRAMINGHAM"
,,,MCINTOSH COUNTY JAIL
,,,MCKEAN COUNTY JAIL
,,,MCKEAN FED.CORR.INST.
,,,MCKENZIE COUNTY SHERIFF/JAIL
,,,MCKINLEY COUNTY ADULT DET. CEN.
,,,MCLEAN COUNTY JAIL
,,,MCLENNAN COUNTY JAIL
,,,"MCLEOD CC, FARRIS, OK"
,,,"MCLEOD COUNTY JAIL, MN"
,,,MCMINN COUNTY JAIL
,,,MCMULLEN COUNTY JAIL
,,,MCNAIRY COUNTY JAIL
,,,MCNEIL ISLAND CORRECTIONS
,,,"MCRAE CORRECTIONAL FACILITY, CCA"
,,,MCSO ESTRELLA
,,,MCSO MADISON FACILITY
,,,MCSO SPECIAL USE FACILITY
,,,MD RECEPTION DIAGN. CENT.
,,,"MEADE CO. JAIL, SD"
,,,MEADE COUNTY JAIL
,,,MECKLENBURG (NC) CO JAIL
,,,MECKLENBURG COUNTY JAIL CENTRAL
,,,MECKLENBURG COUNTY SHERIFF
,,,MECOSTA COUNTY JAIL
,,,MEDFORD SUB-OFFICE
,,,MEDINA COUNTY JAIL
,,,MEEKER COUNTY JAIL
,,,MEHERRIN RIVER REGIONAL JAIL
,,,MEIGS COUNTY JAIL
,,,MELROSE PARK POLICE DEPT.
,,,MEMORIAL VILLAGE POLICE DEPT.
,,,MEMPHIS FED.CORR.INST.
,,,MEMPHIS HOLD ROOM
,,,MEMPHIS POLICE DEPT.
,,,MEMPHIS/SHELBY COUNTY JUV
,,,MENARD CORRECTIONAL CTR
,,,MENARD COUNTY SHERIFF
,,,MENDOCINO COUNTY JAIL
,,,MENOMINEE COUNTY JAIL
,,,MENTOR CITY JAIL
,,,MERCED COUNTY JAIL
,,,MERCEDES POLICE DEPT.
,,,"MERCER CO. JAIL, ND"
,,,"MERCER CO. JAIL, PA"
,,,MERCER COUNTY CORRECTIONS
,,,MERCER COUNTY JAIL
,,,MERCER ISLAND POLICE DEPT.
,,,MERIWETHER COUNTY SHERIFF
,,,MERRICK COUNTY SHERIFF/JAIL
,,,MERRIMACK COUNTY JAIL
,,,MESA COUNTY JAIL
,,,MESA PD HOLDING FACILITY
,,,MESQUITE POLICE DEPT.
,,,METRO (MTA) POLICE DEPT.
,,,METRO DADE JAIL
,,,METROPOLITAN CORR. SVCS. DEPT.
,,,METROPOLITAN DETENTION CENTER
,,,"MI REFORMATORY,IONIA,MI"
,,,MIAMI (MIRAMAR) HOLD ROOM
,,,MIAMI BORDER PATROL
,,,MIAMI CORRECTIONAL CENTER
,,,MIAMI COUNTY JAIL
,,,MIAMI COUNTY SHERIFF'S OFFICE
,,,MIAMI FCI (FORMER MCC)
,,,MIAMI FED.DET.CENTER
,,,MIAMI STAGING FACILITY
,,,"MID-ORANGE CF, WARWICK"
,,,MID-STATE CORR. FACILITY
,,,MIDDLE PENINSULA REGIONAL JAIL
,,,MIDDLE RIVER REGIONAL JAIL
,,,MIDDLE TENNESSEE C.C. #1
,,,MIDDLEBURG HEIGHTS POLICE DEPT.
,,,MIDDLESEX COUNTY H.O.C.-BILLERICA
,,,MIDDLESEX COUNTY JAIL
,,,MIDDLESEX COUNTY-CAMBRIDGE
,,,MIDLAND DETENTION CENTER
,,,MIDLOTHIAN POLICE DEPT.
,,,MIDSTATE CORRECTIONAL
,,,MIFFLIN COUNTY CORRECTIONAL
,,,"MIL.COUNTY CORR, FRANLIN"
,,,MILAM COUNTY SHERIFF
,,,MILAN FED.CORR.INST.
,,,MILL CREEK CORR. FACILITY
,,,MILLARD CO. JAIL
,,,MILLE LACS COUNTY JAIL
,,,MILLER COUNTY JAIL
,,,MILLER COUNTY SHERIFF
,,,MILLS COUNTY JAIL
,,,MILLS COUNTY SHERIFF
,,,MILWAUKEE COUNTY JAIL
,,,MILWAUKEE HOLDROOM
,,,MILWAUKEE SECURE DET. FACILITY
,,,MINER CITY POLICE DEPT.
,,,MINERAL COUNTY JAIL
,,,MINI-CASSIA JUVENILE DET. CENTER
,,,MINICASSIA DET. CENTER
,,,"MINN. C.F., FARIBAULT"
,,,"MINN.C.F, OAK PARK HGTS"
,,,"MINN.C.F., LINO LAKES"
,,,"MINN.C.F., MOOSE LAKE"
,,,"MINN.C.F., RUSH CITY"
,,,"MINN.C.F., SHAKOPEE"
,,,"MINN.C.F., STILLWATER"
,,,"MINN.C.F.,ST.CLOUD"
,,,MINNEHAHA COUNTY JAIL
,,,MINNEHAHA JUVENILE DET CN
,,,MIRA LOMA DET.CENTER
,,,MISSAUKEE COUNTY JAIL
,,,MISSION POLICE DEPT.
,,,MISSISSIPPI COUNTY DETENTION CENTE
,,,MISSISSIPPI COUNTY JAIL
,,,MISSISSIPPI STATE PENT
,,,MISSOULA COUNTY
,,,MISSOURI CITY POLICE DEPT.
,,,MISSOURI STATE PEN.
,,,MITCHELL COUNTY JAIL
,,,MITCHELL COUNTY JUS.CENTER
,,,MITCHELL COUNTY SHERIFF
,,,MOBERLY CORR. CENTER
,,,MOBERLY POLICE DEPT.
,,,"MOBILE CITY JAIL, ALA"
,,,MOBILE COUNTY JAIL
,,,MODOC COUNTY JAIL
,,,MOFFAT COUNTY JAIL
,,,MOHAVE CO CORR CENTER
,,,MOHAWK CORRECTIONAL
,,,MONMOUTH COUNTY JAIL
,,,MONO COUNTY JAIL
,,,"MONONA COUNTY JAIL, IOWA"
,,,MONROE CO JAIL
,,,MONROE CO. CORRECTIONAL CENTER
,,,MONROE COUNTY DET. FACILITY
,,,MONROE COUNTY DETENTION-DORM
,,,MONROE COUNTY JAIL
,,,MONROE COUNTY SHERIFF/JAIL-MAIN
,,,"MONROE COUNTY, WISCONSIN"
,,,MONROE-INTENSIVE MGMT. UNIT
,,,MONROE-MINIMUM SECURITY UNIT
,,,MONROE-SPECIAL OFFENDER UNIT
,,,MONROE-WA STATE REFORMATORY
,,,MONROVIA POLICE DEPT.
,,,MONT CO DEPT OF CORR
,,,MONTAGUE COUNTY JAIL
,,,MONTANA STATE PRISON
,,,"MONTCALM CO., STANTON,MI."
,,,MONTE VIEW JUVENILE FACIL
,,,MONTE VISTA CITY JAIL
,,,MONTEREY CO JUVENILE HALL
,,,MONTEREY CO. JAIL
,,,MONTEREY PARK POLICE DEPT
,,,MONTEREY SHOCK
,,,MONTEZUMA COUNTY JAIL
,,,MONTGOMERY CITY JAIL
,,,"MONTGOMERY CNTY JAIL, PA"
,,,MONTGOMERY CO MAC SIM BUTLER D.F.
,,,MONTGOMERY COUNTY
,,,MONTGOMERY COUNTY CONSTABLE PCT #3
,,,MONTGOMERY COUNTY DET.
,,,MONTGOMERY COUNTY JAIL
,,,MONTGOMERY COUNTY SHERIFF
,,,MONTGOMERY ED&PRE-RELEASE
,,,MONTGOMERY HOLD ROOM
,,,MONTGOMERY POLICE DEPT
,,,MONTOUR COUNTY PRISON
,,,MONTROSE COUNTY JAIL
,,,MOORE COUNTY JAIL
,,,MOORE COUNTY SHERIFF
,,,MOREHOUSE PAR DET CENTER
,,,MORGAN CITY PD JAIL
,,,MORGAN COUNTY CORR. COMPLEX
,,,MORGAN COUNTY DET. CENTER
,,,MORGAN COUNTY JAIL
,,,MORGAN COUNTY SHERIFF'S DEPT
,,,MORGANTOWN FED.CORR.INST.
,,,MORIAH CORRECTIONAL
,,,MORRIS COUNTY JAIL
,,,MORRISON COUNTY JAIL
,,,MORROW CO. CORRECTIONAL FACILITY
,,,MORTON COUNTY SHERIFF/JAIL
,,,MOTLEY COUNTY SHERIFF
,,,MOULTON POLICE DEPT.
,,,"MOUND CORR FAC,DETROIT,MI"
,,,"MOUNT MCGREGOR, WILTON"
,,,MOUNTAIN GROVE POLICE DEPT.
,,,MOUNTAIN VIEW JUV. DET. CENTER
,,,MOUNTAINVIEW YOUTH C.F.
,,,"MOUNTRAIL CO. JAIL, ND"
,,,"MOWER CO. JAIL, MN"
,,,MSCO DURANGO FACILITY
,,,MT PLEASANT CORRECTIONAL
,,,MT. OLIVE CORRECTIONAL CENTER
,,,MUHLENBERG CO. DETENTION CENTER
,,,MULE CREEK STATE PRISON
,,,MULTI CO. JUV.CENTER
,,,MULTIPURPOSE CORRECTIONAL
,,,MULTNOMAH CO. JUV. DET. FAC.
,,,MULTNOMAH COUNTY JAIL
,,,MUN. CORRECT. INSTITUTION
,,,MUNDELEIN POLICE DEPT.
,,,MURRAY COUNTY SHERIFF
,,,MUSCATINE COUNTY JAIL
,,,MUSCOGEE COUNTY SHERIFF FAC.
,,,"MUSKEGON COR, MUSKEGON,MI"
,,,MUSKEGON COUNTY JAIL
,,,"MUSKEGON TEMP, MUSKEGON,"
,,,MUSKINGUM COUNTY JAIL
,,,MUSKOGEE CO.JAIL- BOP ONLY
,,,MUSKOGEE COUNTY JAIL
,,,MUSSELSHELL COUNTY JAIL
,,,N OLMSTED CITY JAIL
,,,N.A. CHADERJIAN YCF
,,,N.C. DEPT OF CORRECTIONS
,,,N.E.NEB.JUVENILE SERVICES
,,,N.J. STATE PRISON
,,,N.Y. STATE DEPT CORR.
,,,"N.Y. STATE POLICE, MORRIS"
,,,NACOGDOCHES COUNTY JAIL
,,,NACOGDOCHES POLICE DEPT.
,,,NAPA COUNTYY DEPT OF CORR
,,,NAPERVILLE POLICE DEPT.
,,,NASELLE YOUTH CAMP
,,,NASH COUNTY JAIL
,,,NASHUA ST. JAIL
,,,NASHVILLE COMM. CORR.
,,,NASHVILLE HOLD ROOM
,,,NASSAU BAY POLICE DEPT.
,,,NASSAU CO CORREC CENTER
,,,NASSAU COUNTY JAIL
,,,NATCHITOCHES PARISH DET. CENTER
,,,NATRONA CO. JUV. DET. CENTER
,,,NATRONA COUNTY JAIL
,,,NAUGATUCK POLICE DEPT.
,,,NAVAJO COUNTY SHERIFF
,,,NAVARRO CO JUSTICE CTR
,,,NAVASOTA POLICE DEPT.
,,,NCCI GARDNER
,,,"ND STATE PENN BISMARK, ND"
,,,ND STATE PENN NEW ENGLAND WOMEN'S
,,,NE CORR CNTR CONCORD
,,,NEBRASKA DEPT OF CORRECTI
,,,NEMAHA COUNTY SHERIFF/JAIL
,,,NEOSHA COUNTY SHERIFF/JAIL
,,,NEOSHO POLICE DEPT.
,,,NESHOBA CO. LAW ENF. CENTER
,,,NEV WOMENS CORR CTR
,,,NEVADA COUNTY JAIL
,,,NEVADA DOC - HIGH DESERT
,,,NEVADA DOC - SOUTHERN NV CC
,,,NEVADA POLICE DEPT
,,,NEVADA SOUTHERN DETENTION CENTER
,,,NEVADA STATE PRISON
,,,NEW CANAAN POLICE DEPT.
,,,NEW HAMPSHIRE STATE PRISON
,,,NEW HANOVER CO DET CENTER
,,,NEW HAVE POLICE DEPT.
,,,NEW HAVEN CORR CENTER
,,,NEW LISBON CORRECTIONAL INST.
,,,NEW MADRID COUNTY SHERIFF/JAIL
,,,NEW RIVER C. I.
,,,NEW RIVER VALLEY REG. JAIL
,,,NEW YORK MCC
,,,NEW/INS OS HOLD ROOM
,,,NEWARK POLICE DEPT.
,,,"NEWAYGO CO.WHITE CLOUD,MI"
,,,"NEWBERRY C.F.,NEWBERRY,MI"
,,,NEWBERRY COUNTY JAIL
,,,NEWPORT BEACH POLICE DEPT.
,,,NEWPORT NEWS CITY JAIL
,,,NEWTON CORR'L RELEASE CTR
,,,NEWTON COUNTY CORR. CTR.
,,,NEWTON COUNTY JAIL
,,,NEZ PERCE COUNTY JAIL
,,,NH STATE PRISON FOR WOMEN
,,,"NH STATE PRISON, CONCORD"
,,,NIAGARA COUNTY JAIL
,,,NIAGARA FALLS CITY JAIL
,,,NIANTIC CORR INST
,,,NICOLLET COUNTY JAIL
,,,NILES POLICE DEPT.
,,,NIOBRARA COUNTY JAIL
,,,NISQUALLY CITY JAIL
,,,NM WOMEN'S CORR. FACILITY
,,,NO COUNTY JAIL/PALO ALTO
,,,NO. KERN STATE PRISON
,,,NO. VA. JUVENILE DET - ICE
,,,NO. VA. JUVENILE DET - ORR
,,,NOBLE CORRECTIONAL INST
,,,NOBLE COUNTY JAIL
,,,NOBLES CO. JAIL
,,,NODAWAY COUNTY JAIL
,,,NOL D D & P
,,,NOLAN COUNTY SHERIFF
,,,NORFLK CNTY DEDHAM
,,,NORFOLK CITY JAIL
,,,NORFOLK SUB-OFFICE HOLD
,,,NORTEAST OK CORR CENTER
,,,NORTH ATTLEBORO POLICE DEPT.
,,,NORTH CENTRAL CORR.
,,,NORTH CENTRAL CORR. FAC.
,,,NORTH CENTRAL REGIONAL JAIL
,,,NORTH CHICAGO P.D.
,,,NORTH COAST YOUTH CORR.
,,,NORTH COUNTY JAIL
,,,NORTH GEORGIA DETENTION CENTER
,,,NORTH IDAHO CORRECTIONAL
,,,NORTH LAS VEGAS
,,,NORTH LAS VEGAS POLICE DEPT.
,,,NORTH PLATTE HOLD ROOM
,,,NORTH RICHLAND HILLS JAIL
,,,NORTH RIVERSIDE POLICE DEPT
,,,NORTH ROYALTON CITY JAIL
,,,NORTHAMPTON COUNTY JAIL
,,,NORTHAMPTON COUNTY PRISON
,,,NORTHEAST CORR CENTER
,,,NORTHEAST CORR. CENTER
,,,NORTHEAST OHIO CORR. FAC.
,,,NORTHEAST PRE-RELEASE
,,,NORTHEASTERN CORR. COMPLEX
,,,NORTHERN CORR INST
,,,NORTHERN FL. REC. CENTER
,,,NORTHERN NECK REG. JAIL
,,,NORTHERN NEV CORR CTR
,,,NORTHERN NEW HAMPSHIRE COR. FAC.
,,,NORTHERN OREGON CORR.FAC.
,,,NORTHERN OREGON JUV.DET.
,,,NORTHERN REGIONAL JAIL
,,,NORTHERN STATE PRISON
,,,NORTHFORK CORR. FACILITY
,,,NORTHPOINT TRAINING CENTR
,,,NORTHPORT POLICE DEPT.
,,,NORTHUMBERLAND CO. PRISON
,,,NORTHWEST CORRECTIONAL COMPLEX
,,,NORTHWEST DET. CENTER
,,,NORTHWEST REG. ADULT DET.
,,,NORTHWEST STATE CORRECTIONAL CTR.
,,,NORTON CORRECTIONAL FAC.
,,,NORTON COUNTY JAIL
,,,NORWALK POLICE DEPT.
,,,NOVI POLICE DEPT.
,,,NUECES COUNTY JAIL
,,,NUESE CORRECTIONAL INSTITUTION
,,,NV PAROLE AND PROBATION
,,,NYC FIELD OFFICE
,,,NYC POLICE DEPARTMENT
,,,NYE CO JAIL
,,,NYE COUNTY SHERIFF-BEATTY
,,,NYE COUNTY SHERIFF-PAHRUMP
,,,O'FALLON POLICE DEPT.
,,,OAHU COMMUNITY CORR CTR
,,,OAK HARBOR CITY JAIL
,,,OAK HILL CORRECTIONAL INSTITUTION
,,,OAKDALE FED. DET. CENTER
,,,OAKDALE FED.CORR.INST.
,,,OAKDALE FED.DET.CENTER
,,,OAKDALE HOLDING ROOM
,,,OAKLAND CITY JAIL
,,,"OAKLAND CO., PONTIAC, MI"
,,,OAKS CORRECTIONAL FACILITY
,,,"OBRIEN CO JAIL, IOWA"
,,,OCEAN COUNTY JAIL
,,,OCEAN SPRINGS POLICE DEPT/JAIL
,,,"OCEANA COUNTY, HART, MI"
,,,OCHILTREE COUNTY SHERIFF
,,,OCONEE COUNTY JAIL
,,,OCONEE COUNTY SHERIFF
,,,OCONTO COUNTY SHERIFF
,,,ODESSA DETENTION CENTER
,,,OFFENDER INFO & COMPUTATION SENT
,,,OGDEN HOLD ROOM
,,,OGDENSBURG CORRECTIONAL
,,,OGLE COUNTY JAIL
,,,OGLETHORPE COUNTY SHERIFF
,,,OHIO COUNTY CORRECTIONAL CENTER
,,,OHIO STATE PENITENTIARY
,,,OISC-OFFENDER INF SENTENCE COMP
,,,OJIBWAY CORRECTIONAL FACILITY
,,,OKALOOSA COUNTY D.O.C.
,,,OKANOGAN CO. JAIL
,,,OKC COMMUNITY CORR CENTER
,,,OKEECHOBEE CORR. INSTITUTION
,,,OKEECHOBEE COUNTY JAIL
,,,OKLAHOMA CITY HOLD ROOM.
,,,OKLAHOMA CITY JAIL
,,,OKLAHOMA COUNTY JAIL
,,,OKLAHOMA FED.TRANSFER CTR
,,,OKMULGEE COUNTY JAIL
,,,"OKST REFORMATORY, GRANITE"
,,,OKTIBBEHA COUNTY JAIL
,,,"OLD COLONY, BRIDGEWATER"
,,,OLDHAM COUNTY JAIL
,,,OLDHAM COUNTY SHERIFF
,,,OLIVETTE POLICE DEPT.
,,,OLMSTED CO. JAIL
,,,OLYMPWA
,,,OMAHA CORRECTIONAL CENTER
,,,OMAHA FO HOLD
,,,OMAHA POLICE DEPT.
,,,ONEIDA CORRECTIONAL
,,,ONEIDA COUNTY JAIL
,,,ONEIDA COUNTY SHERIFF
,,,ONONDAGA COUNTY CORRECTIONS
,,,ONONDAGA COUNTY JAIL
,,,ONSLOW COUNTY JAIL
,,,OR STATE PRISON-SNAKE RIV
,,,ORANGE BEACH POL. DEPT. CORR.
,,,ORANGE COUNT INTAKE RELEASE FAC.
,,,ORANGE COUNTY CENTRAL WOMEN'S JAIL
,,,ORANGE COUNTY JAIL
,,,ORANGE COUNTY JUV. HALL
,,,ORANGE COUNTY SHERIFF
,,,ORANGE POLICE DEPT.
,,,ORANGEBURG-CALHOUN REG DET CENTER
,,,OREGON SP-MINIMUN
,,,OREGON STATE CORR. INST.
,,,OREGON STATE PEN SALEM
,,,ORIENT CORRECTIONAL INST
,,,ORLAND PARK POLICE DEPT.
,,,ORLANDO HOLD ROOM
,,,ORLEANS CORRECTIONAL
,,,ORLEANS COUNTY JAIL
,,,ORLEANS PARISH JUVENILE FAC
,,,ORLEANS PARISH SHERIFF
,,,OSAGE BEACH POLICE DEPT.
,,,OSAGE COUNTY JAIL
,,,OSAGE COUNTY SHERIFF'S OFFICE
,,,OSAWATOMIE CORR. FAC.
,,,OSBORN CORR INST
,,,OSCEOLA CO JAIL
,,,OSCEOLA COUNTY JAIL
,,,OSHKOSH CORRECTIONS CTR
,,,OSWEGO COUNTY JAIL
,,,OTERO CO PROCESSING CENTER
,,,OTERO COUNTY DETENTION
,,,OTERO COUNTY JAIL
,,,OTERO COUNTY PRISON FACILITY
,,,OTHER-OTHER FACILITY
,,,OTISVILLE C.F.(STATE)
,,,OTISVILLE FED.CORR.INST.
,,,OTOE CO JAIL
,,,OTSEGO COUNTY JAIL
,,,OTTAWA COUNTY JAIL
,,,OTTER TAIL COUNTY JAIL
,,,"OUACHITA CC, HODGENS OK"
,,,OUACHITA COUNTY JAIL
,,,OUACHITA PARISH COR. CENTER
,,,OUTAGAMIE COUNTY JAIL
,,,OVERLAND POLICE DEPT.
,,,OVERTON COUNTY SHERIFF
,,,OWEN COUNTY JAIL
,,,OWYHEE COUNTY JAIL
,,,OXFORD COUNTY JAIL
,,,OXFORD FED.CORR.INST.
,,,OXFORD POLICE DEPT.
,,,OZARK CORRECTIONAL CENTER
,,,OZARK COUNTY JAIL
,,,OZAUKEE COUNTY JAIL
,,,PACIFIC COUNTY JAIL
,,,PACIFIC FURLOUGH FACILITY
,,,PAGE CITY JAIL
,,,PAGE COUNTY JAIL
,,,PALACIOS POLICE DEPT.
,,,PALATINE POLICE DEPT.
,,,PALM BEACH COUNTY JAIL
,,,PALMER CORRECTIONAL CENTE
,,,PALMS WEST HOSPITAL
,,,PALMVIEW POLICE DEPT.
,,,PALO ALTO COUNTY JAIL
,,,PALO PINTO COUNTY JAIL
,,,PALOS VERDES ESTATES P.D.
,,,PAMLICO COUNTY JAIL
,,,PAMUNKEY REG JAIL
,,,PANHANDLE POLICE DEPT.
,,,PANOLA COUNTY JAIL
,,,PANTEGO POLICE DEPT.
,,,PARK COUNTY DET CENTER
,,,PARK COUNTY JAIL
,,,PARKE COUNTY SHERIFF/JAIL
,,,PARKER COUNTY SHERIFF'S DEPT.
,,,PARMA CITY JAIL
,,,PARMA HEIGHTS POLICE DEPT.
,,,PARMER COUNTY SHERIFF
,,,PARNALL CORRECTIONAL FACILITY
,,,PASADENA CITY JAIL
,,,PASADENA POLICE DEPT.
,,,PASCAGOULA POLICE DEPT/JAIL
