year,det_facility,city,state,count,det_facility,year,count
2015,SAN BERNARDINO CO. JAIL,SAN BERNARDINO,CALIFORNIA,6,SAN BERNARDINO CO. JAIL,2015,18
2015,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,42,SAN DIEGO COUNTY JAIL,2015,226
2015,SAN FERNANDO POLICE DEPT.,SAN FERNANDO,CALIFORNIA,1,SAN FERNANDO POLICE DEPT.,2015,1
2015,SAN FRANCISCO CO JAIL,SAN FRANCISCO,CALIFORNIA,21,SAN FRANCISCO CO JAIL,2015,1
2015,SAN JOAQUIN COUNTY JAIL,FRENCH CAMP,CALIFORNIA,52,SAN JOAQUIN COUNTY JAIL,2015,1
2015,SAN LUIS OBISPO CO JAIL,SAN LUIS OBISPO,CALIFORNIA,2,SAN LUIS OBISPO CO JAIL,2015,2
2015,SAN MATEO CO JAIL,REDWOOD CITY,CALIFORNIA,23,SAN MATEO CO JAIL,2015,8
2015,SAN MIGUEL COUNTY JAIL,TELLURIDE,COLORADO,1,SAN MIGUEL COUNTY JAIL,2015,1
2015,SANTA CLARA CO JAIL/MEN'S,MILPITAS,CALIFORNIA,10,SANTA CLARA CO JAIL/MEN'S,2015,3
2015,SANTA CLARA CO MAIN JAIL/,SAN JOSE,CALIFORNIA,56,SANTA CLARA CO MAIN JAIL/,2015,2
2015,SANTA CRUZ CO MAIN JAIL,SANTA CRUZ,CALIFORNIA,2,SANTA CRUZ CO MAIN JAIL,2015,2
2015,SANTA FE COUNTY JAIL,SANTA FE,NEW MEXICO,1,SANTA FE COUNTY JAIL,2015,1
2015,SANTA MONICA POLICE DEPT.,SANTA MONICA,CALIFORNIA,2,SANTA MONICA POLICE DEPT.,2015,1
2015,SANTA RITA JAIL,DUBLIN,CALIFORNIA,24,SANTA RITA JAIL,2015,8
2015,SEDGWICK COUNTY JAIL,WICHITA,KANSAS,1,SEDGWICK COUNTY JAIL,2015,2
2015,SHELBY CO. SHERIFF OFFICE,MEMPHIS,TENNESSEE,2,SHELBY CO. SHERIFF OFFICE,2015,20
2015,SOLANO CO. DET. FACILITY,FAIRFIELD,CALIFORNIA,3,SOLANO CO. DET. FACILITY,2015,3
2015,SONOMA CO MAIN ADULT DET,SANTA ROSA,CALIFORNIA,13,SONOMA CO MAIN ADULT DET,2015,6
2015,SONOMA CO./NORTH COUNTY,SANTA ROSA,CALIFORNIA,1,SONOMA CO./NORTH COUNTY,2015,1
2015,SPRINGDALE CITY JAIL,SPRINGDALE,ARKANSAS,1,SPRINGDALE CITY JAIL,2015,2
2015,STANISLAUS COUNTY JAIL,MODESTO,CALIFORNIA,3,STANISLAUS COUNTY JAIL,2015,9
2015,"STATE PRISON, SHELTON",SHELTON,WASHINGTON,1,"STATE PRISON, SHELTON",2015,8
2015,SUFFOLK CO.CORREC FAC,RIVERHEAD,NEW YORK,4,SUFFOLK CO.CORREC FAC,2015,45
2015,SUMMIT COUNTY JAIL,BRECKENRIDGE,COLORADO,2,SUMMIT COUNTY JAIL,2015,13
2015,SUTTER COUNTY JAIL,YUBA,CALIFORNIA,4,SUTTER COUNTY JAIL,2015,3
2015,TAFT FED.CORR.INST.,TAFT,CALIFORNIA,2,TAFT FED.CORR.INST.,2015,58
2015,TALLADEGA FCI,TALLADEGA,ALABAMA,1,TALLADEGA FCI,2015,8
2015,TRAVELERS & IMMIGRANT AID,CHICAGO,ILLINOIS,1,TRAVELERS & IMMIGRANT AID,2015,2
2015,TRAVIS COUNTY STATE JAIL,AUSTIN,TEXAS,1,TRAVIS COUNTY STATE JAIL,2015,5
2015,TRAVIS CTY JAIL,AUSTIN,TEXAS,58,TRAVIS CTY JAIL,2015,187
2015,TULARE COUNTY JAIL,VISALIA,CALIFORNIA,6,TULARE COUNTY JAIL,2015,12
2015,TURNER GUIFORD KNIGHT (TGK) JAIL,MIAMI,FLORIDA,37,TURNER GUIFORD KNIGHT (TGK) JAIL,2015,6
2015,"ULSTER CF, NAPANOCH",NAPANOCH,NEW YORK,1,"ULSTER CF, NAPANOCH",2015,8
